FREQ;DUUR;TIJDSEENHEID;Q;BRON;PERIODE;REF_JAAR;SCENARIO;;
0,002;2;dag;142;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;4;dag;156;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,002;8;dag;178;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;10;min;48;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;30;min;85;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;60;min;111;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;2;uur;128;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;4;uur;134;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;8;uur;138;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;12;uur;139;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;24;uur;148;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;2;dag;157;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;4;dag;169;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
0,001;8;dag;188;Neerslagstatistiek KNMI23 tabel 8 p. 26;Jaar;2024;;;
2;10;min;10;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;30;min;13;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;60;min;16;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;2;uur;19;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;4;uur;23;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;8;uur;27;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;12;uur;30;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;24;uur;37;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;2;dag;45;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;4;dag;57;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
2;8;dag;76;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;10;min;13;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;30;min;17;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;60;min;20;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;2;uur;24;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;4;uur;29;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;8;uur;34;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;12;uur;38;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;24;uur;45;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;2;dag;54;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
1;4;dag;67;Neerslagstatistiek KNMI23 tabel 9 p. 26;Jaar;2100;H;;
